App name,Usage (hours),Access count,average_time_per_access (Minutes),average_time_per_day (Minutes)
Instagram,329,6141,3.214460185637518,102.27979274611398
WhatsApp,145,6366,1.3666352497643732,45.07772020725388
Phone,105,5843,1.078213246619887,32.64248704663213
Call of Duty,85,545,9.357798165137615,26.424870466321245
YouTube,82,1275,3.8588235294117648,25.492227979274613
Opera Mini,43,501,5.149700598802395,13.367875647668393
Amazon Kindle,26,411,3.795620437956204,8.082901554404145
Opera,26,230,6.782608695652174,8.082901554404145
Chrome,22,1256,1.0509554140127388,6.839378238341969
Hotstar,18,440,2.4545454545454546,5.595854922279793
MX Player,17,210,4.857142857142857,5.284974093264249
Amazon Shopping,11,526,1.2547528517110267,3.4196891191709846
Goodreads,8,1024,0.46875,2.4870466321243523
Uber Eats,8,268,1.791044776119403,2.4870466321243523
Swiggy,8,338,1.4201183431952662,2.4870466321243523
Duolingo,7,105,4.0,2.1761658031088085
Gallery,5,555,0.5405405405405406,1.5544041450777202
Telegram,4,263,0.9125475285171103,1.2435233160621761
Tamil Map,4,178,1.348314606741573,1.2435233160621761
Google Pay,4,252,0.9523809523809523,1.2435233160621761
redBus,4,307,0.7817589576547231,1.2435233160621761
Google Play Store,4,382,0.6282722513089005,1.2435233160621761
Drive,3,215,0.8372093023255814,0.9326424870466321
Flipkart,3,111,1.6216216216216217,0.9326424870466321
Camera,3,514,0.35019455252918286,0.9326424870466321
Settings,2,664,0.18072289156626506,0.6217616580310881
Messages,2,613,0.19575856443719414,0.6217616580310881
Clock,2,329,0.364741641337386,0.6217616580310881
Samsung Music,2,315,0.38095238095238093,0.6217616580310881
Samsung Notes,1,138,0.43478260869565216,0.31088082901554404
Flud,1,161,0.37267080745341613,0.31088082901554404
IndPay,1,76,0.7894736842105263,0.31088082901554404
Udemy,1,41,1.4634146341463414,0.31088082901554404
Zedge Ringtones & Wallpapers,1,36,1.6666666666666667,0.31088082901554404
