App name,Usage (hours),Access count
Instagram,329,6141
WhatsApp,145,6366
Phone,105,5843
Call of Duty,85,545
YouTube,82,1275
Opera Mini,43,501
Amazon Kindle,26,411
Opera,26,230
Chrome,22,1256
Hotstar,18,440
MX Player,17,210
Amazon Shopping,11,526
Goodreads,8,1024
Uber Eats,8,268
Swiggy,8,338
Duolingo,7,105
Gallery,5,555
Telegram,4,263
Tamil Map,4,178
Google Pay,4,252
redBus,4,307
Google Play Store,4,382
Drive,3,215
Flipkart,3,111
Camera,3,514
Settings,2,664
Messages,2,613
Clock,2,329
Samsung Music,2,315
Samsung Notes,1,138
Flud,1,161
IndPay,1,76
Udemy,1,41
Zedge Ringtones & Wallpapers,1,36
