Date,Check phone count,Screen on time
26/11/2019,55,4
25/11/2019,79,6
24/11/2019,68,6
23/11/2019,66,6
22/11/2019,60,5
21/11/2019,66,7
20/11/2019,53,4
19/11/2019,53,5
18/11/2019,63,5
17/11/2019,87,4
16/11/2019,77,6
15/11/2019,76,4
14/11/2019,70,6
13/11/2019,76,6
12/11/2019,66,5
11/11/2019,78,6
10/11/2019,62,7
09/11/2019,73,6
08/11/2019,79,7
07/11/2019,66,7
06/11/2019,72,4
05/11/2019,65,7
04/11/2019,78,6
03/11/2019,57,6
02/11/2019,81,8
01/11/2019,84,6
31/10/2019,71,7
30/10/2019,71,5
29/10/2019,81,6
28/10/2019,85,4
27/10/2019,83,5
26/10/2019,72,6
25/10/2019,65,7
24/10/2019,91,8
23/10/2019,88,6
22/10/2019,54,4
21/10/2019,108,5
20/10/2019,19,27
19/10/2019,38,1
18/10/2019,101,3
17/10/2019,84,7
16/10/2019,79,9
15/10/2019,63,7
14/10/2019,57,6
13/10/2019,57,7
12/10/2019,59,8
11/10/2019,74,8
10/10/2019,79,6
09/10/2019,60,7
08/10/2019,68,6
07/10/2019,68,6
06/10/2019,70,8
05/10/2019,59,6
04/10/2019,90,5
03/10/2019,77,8
02/10/2019,80,9
01/10/2019,68,7
30/09/2019,63,6
29/09/2019,100,6
28/09/2019,63,7
27/09/2019,61,4
26/09/2019,103,7
25/09/2019,70,5
24/09/2019,70,6
23/09/2019,83,4
22/09/2019,74,5
21/09/2019,53,8
20/09/2019,81,5
19/09/2019,71,5
18/09/2019,100,5
17/09/2019,81,7
16/09/2019,60,6
15/09/2019,68,6
14/09/2019,83,3
13/09/2019,93,8
12/09/2019,70,5
11/09/2019,83,8
10/09/2019,81,6
09/09/2019,81,7
08/09/2019,69,7
07/09/2019,84,8
06/09/2019,80,7
05/09/2019,79,7
04/09/2019,55,6
03/09/2019,79,7
02/09/2019,70,8
01/09/2019,121,4
31/08/2019,90,7
30/08/2019,69,8
29/08/2019,58,4
28/08/2019,73,6
27/08/2019,60,5
26/08/2019,93,6
25/08/2019,114,5
24/08/2019,107,5
23/08/2019,77,7
22/08/2019,158,6
21/08/2019,92,7
20/08/2019,69,7
19/08/2019,50,5
18/08/2019,62,8
17/08/2019,61,10
16/08/2019,83,6
15/08/2019,83,7
14/08/2019,91,6
13/08/2019,80,6
12/08/2019,53,6
11/08/2019,81,5
10/08/2019,69,4
09/08/2019,79,5
08/08/2019,65,6
07/08/2019,83,4
06/08/2019,67,5
05/08/2019,73,5
04/08/2019,57,5
03/08/2019,63,10
02/08/2019,92,7
01/08/2019,64,6
31/07/2019,70,5
30/07/2019,66,6
29/07/2019,59,5
28/07/2019,81,4
27/07/2019,64,4
26/07/2019,63,6
25/07/2019,57,6
24/07/2019,65,6
23/07/2019,91,5
22/07/2019,82,5
21/07/2019,64,6
20/07/2019,110,8
19/07/2019,68,6
18/07/2019,64,7
17/07/2019,58,6
16/07/2019,71,6
15/07/2019,90,8
14/07/2019,92,8
13/07/2019,76,4
12/07/2019,65,5
11/07/2019,87,7
10/07/2019,92,7
09/07/2019,69,8
08/07/2019,119,5
07/07/2019,98,5
06/07/2019,96,5
05/07/2019,104,8
04/07/2019,36,4
03/07/2019,74,9
02/07/2019,83,7
01/07/2019,76,7
30/06/2019,69,8
29/06/2019,70,8
28/06/2019,60,5
27/06/2019,56,8
26/06/2019,75,7
25/06/2019,59,7
24/06/2019,37,5
23/06/2019,74,7
22/06/2019,80,8
21/06/2019,61,5
20/06/2019,64,5
19/06/2019,52,7
18/06/2019,49,6
17/06/2019,56,6
16/06/2019,105,5
15/06/2019,71,6
14/06/2019,68,7
13/06/2019,82,5
12/06/2019,72,7
11/06/2019,78,6
10/06/2019,79,5
09/06/2019,66,8
08/06/2019,80,7
07/06/2019,69,6
06/06/2019,55,7
05/06/2019,45,8
04/06/2019,75,6
03/06/2019,82,5
02/06/2019,53,6
01/06/2019,73,6
31/05/2019,79,6
30/05/2019,68,9
29/05/2019,63,7
28/05/2019,64,6
27/05/2019,68,7
26/05/2019,52,7
25/05/2019,58,4
24/05/2019,70,8
23/05/2019,49,6
22/05/2019,78,8
21/05/2019,47,13
20/05/2019,34,4
19/05/2019,80,6
18/05/2019,68,5
17/05/2019,33,3
